fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia
20210924 150112	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	0.0915248784753471	0.289038087918051	5818	933	0.0467923729678988	8376250
20210924 150201	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	88	TRUE	0.0605102644394292	0.967480801788531	5407	175	0.0434608044988957	8213750
20210924 150900	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1423	TRUE	0.0130114845875441	0.619425142320432	6022	762	0.0472365003574061	8247500
20210924 151045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	219	TRUE	0.055987041523268	0.449232711192593	3847	877	0.0453374888487323	8835000
20210924 151138	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	152	TRUE	0.0998203944661934	0.886051084836014	6637	171	0.050781043881166	8232500
20210924 151321	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	283	TRUE	0.0896731082977634	0.530338359125331	6212	408	0.0467931001005038	8462500
20210924 151431	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	226	TRUE	0.0818800794220809	0.718388142416067	6560	838	0.0472994634385781	8283750
20210924 151603	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	193	TRUE	0.022719885677225	0.775814230637625	7902	549	0.043988189920558	7996250
20210924 151848	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	61	TRUE	0.0447646078241174	0.445702841035463	428	284	0.0369136984657648	8111250
20210924 151955	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.0462877170872525	0.735900813158974	3282	820	0.0438947822063949	8507500
20210924 152142	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	126	TRUE	0.0376146004828648	0.799561881496198	1766	379	0.0435986578895814	8460000
20210924 152241	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	0.0928314633363695	0.621529629798047	4408	144	0.0455388932721817	8568750
20210924 152525	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	384	TRUE	0.0246450851165946	0.748519043051079	3521	294	0.042386031992356	8357500
20210924 152615	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.056311561958557	0.681573080398515	7933	397	0.0480366927381853	8137500
20210924 152732	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	93	TRUE	0.0693488258301723	0.336024107146449	2100	140	0.0455024310786333	8251250
20210924 152955	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	0.0599904135991493	0.912169362097792	465	352	0.0370544434527832	7518750
20210924 153223	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	101	TRUE	0.0822250220809085	0.288138238968514	612	361	0.0360663268155606	8010000
20210924 153456	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	393	TRUE	0.0315962964172335	0.918492469715886	4011	572	0.0435762118549818	8681250
20210924 154239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	82	TRUE	0.0161685379309207	0.435747365591303	358	676	0.0378648608504133	8067500
20210924 155055	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1661	TRUE	0.0108500193812698	0.392437242982164	4082	17	0.0461900875821171	8750000
20210924 155221	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	168	TRUE	0.0506850651580608	0.796020943543315	3195	487	0.0452899234755019	8561250
20210924 155507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	345	TRUE	0.0239642470865021	0.30095487157274	3664	536	0.046513829586782	8770000
20210924 155613	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	115	TRUE	0.0639151823042729	0.79773969113417	3406	390	0.0450136123278879	8211250
20210924 155729	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	204	TRUE	0.0960762344201771	0.439406577284262	2713	22	0.0510685314463329	8375000
20210924 160443	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1538	TRUE	0.011560552735168	0.835706006727368	6474	938	0.0460151493728863	8340000
20210924 160527	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	77	TRUE	0.08362112716106	0.732244367031753	7877	27	0.0463153065005274	8305000
20210924 160620	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	52	TRUE	0.081511962510536	0.862718362606503	2850	386	0.0470221277991129	8441250
20210924 160658	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	45	TRUE	0.0798756588639715	0.72090477506835	7021	102	0.0490366326244145	8041250
20210924 161131	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	580	TRUE	0.0188894674187945	0.54253795338124	5392	790	0.0429693576694078	8297500
20210924 161259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	176	TRUE	0.0578144050566596	0.941541262928397	3627	473	0.0456365216556364	8595000
20210924 161443	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	188	TRUE	0.0370909773925855	0.616992451699264	4230	34	0.0454736022603128	8290000
20210924 161646	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	52	TRUE	0.0870749966558395	0.25273250250835	566	710	0.0402425468899352	7933750
20210924 162753	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	86	TRUE	0.0204832225548406	0.21917193792779	91	810	0.0207087899861974	8045000
20210924 162903	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	64	TRUE	0.0634455249218759	0.547505292718858	2901	442	0.0454301834718423	8307500
20210924 163013	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	114	TRUE	0.0640185858532856	0.394982298076153	4455	265	0.0442463989015303	8401250
20210924 163416	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	0.0194087374812365	0.957890565846115	920	673	0.038913314422478	8478750
20210924 163512	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	82	TRUE	0.0986483552923147	0.59803238304276	4100	792	0.0443066291362351	8675000
20210924 163550	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	0.0983675526885293	0.854560422840528	4445	248	0.0439317002390426	8165000
20210924 163711	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	235	TRUE	0.0730157363234414	0.753229825284518	6496	413	0.0474441935907856	8095000
20210924 164623	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	283	TRUE	0.0448467935787165	0.870526163266227	170	613	0.013653248844679	7412500
20210924 164712	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	78	TRUE	0.0459795317180711	0.663384077288955	7740	51	0.0457382792644487	8210000
20210924 164903	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.061578241197106	0.577415653587505	658	989	0.0464533826637827	7827500
20210924 165147	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	396	TRUE	0.0516015366169484	0.336897429076955	4476	228	0.045589785809527	8270000
20210924 165335	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	158	TRUE	0.0264807076456654	0.820202100442536	3434	1010	0.0427938060812713	8556250
20210924 165558	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	101	TRUE	0.0363808286525821	0.246123850505799	65	148	0.0346294649482007	7925000
20210924 165852	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	465	TRUE	0.024564179782928	0.299254879584536	5660	975	0.047406582337138	8303750
20210924 170050	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	163	TRUE	0.0350823346564453	0.63962309988793	2021	229	0.0439330950879124	8325000
20210924 170200	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	99	TRUE	0.041953410865271	0.499486255242676	7534	437	0.0445449845292887	8226250
20210924 170520	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	281	TRUE	0.0239364585833694	0.396149640922435	1920	432	0.0434754312967595	8476250
20210924 170608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	112	TRUE	0.0952161238216609	0.267504021806642	6938	857	0.0503863636715286	8128750
20210924 170832	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	221	TRUE	0.0399150484074908	0.488645579794608	2281	1019	0.043307612688403	8631250
20210924 170948	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	141	TRUE	0.0790106146851694	0.515490995542333	4677	1017	0.0497202720356107	8115000
20210924 171502	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	901	TRUE	0.0198504389345832	0.528007061607018	7129	491	0.0457191835285136	8206250
20210924 171606	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	197	TRUE	0.0784977320134407	0.92539516128432	7366	575	0.0474699752392182	8288750
20210924 171844	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	294	TRUE	0.0112040093725454	0.729442882701382	7299	458	0.0460889834114689	7863750
20210924 172144	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	298	TRUE	0.0228309365633456	0.285381315694936	2165	271	0.0434215543056444	8492500
20210924 172444	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	91	TRUE	0.0360228761363635	0.440093986921757	677	236	0.0399109488951233	8506250
20210924 172629	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	215	TRUE	0.0253386761011975	0.345603943392448	7920	643	0.04524029373555	8138750
20210924 172945	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	400	TRUE	0.0388073918755166	0.242254554768652	1780	475	0.0409998689130145	8498750
20210924 173112	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	80	TRUE	0.04748604906647	0.625817998748459	1407	99	0.0458312975408617	8777500
20210924 173223	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	118	TRUE	0.0655083757165796	0.933035365270823	2605	92	0.0439970512169074	8598750
20210924 173530	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	83	TRUE	0.0379098481267365	0.99970652739238	524	316	0.0364850808971768	7822500
20210924 173656	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.0661922945403494	0.768023569398932	907	693	0.0388956868749941	8176250
20210924 173802	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	164	TRUE	0.0620434579032147	0.286519047025777	6762	192	0.0476430768839951	7868750
20210924 173844	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	0.0948437330296147	0.661946775433421	5167	621	0.0452161728453506	8206250
20210924 174121	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	98	TRUE	0.0985465175396018	0.887833433454111	517	927	0.0272969640443644	7272500
20210924 174318	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	237	TRUE	0.0224151582301781	0.381496200933494	7911	145	0.0453816323172737	8002500
20210924 174507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	209	TRUE	0.0466659180196142	0.537611779115535	3971	723	0.0450320482333336	8628750
20210924 175116	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1045	TRUE	0.0123461964077083	0.281423912452906	4191	137	0.0472988595300356	8585000
20210924 175452	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	812	TRUE	0.0201925235369289	0.721856099381112	7730	568	0.0476719840121035	8108750
20210924 175604	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	150	TRUE	0.0732518754717871	0.911040899654292	3247	106	0.0452029265292161	8695000
20210924 180119	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	324	TRUE	0.0164114701820048	0.29427569801379	1031	1018	0.0421948427795239	8693750
20210924 180237	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	211	TRUE	0.0494448227448948	0.900326383125223	6077	650	0.0458327023433069	8053750
20210924 180402	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	176	TRUE	0.0248142530105636	0.982459725423157	7557	256	0.0441698745776053	8050000
20210924 180457	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	128	TRUE	0.0848344551855559	0.642775298169255	4960	157	0.0474262449508714	8332500
20210924 180543	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	92	TRUE	0.0931234995371476	0.222387471709587	4813	155	0.0465087544094239	8543750
20210924 180739	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	330	TRUE	0.0319850057174615	0.879780786676146	5602	677	0.0456907064571698	8272500
20210924 181048	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	551	TRUE	0.0190350034114649	0.871808172725327	5480	939	0.0431565157929603	8512500
20210924 181400	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	644	TRUE	0.0236197593386844	0.791636428255029	5651	235	0.0453453937648036	8470000
20210924 181629	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	534	TRUE	0.030198158813112	0.925644761063345	7407	316	0.0478066030889696	8065000
20210924 181719	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	59	TRUE	0.0764978391209594	0.381854370066337	6966	828	0.0480111752996576	8235000
20210924 181905	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	190	TRUE	0.0705480686795246	0.300568985381909	7817	233	0.0478683204865743	7995000
20210924 182827	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	881	TRUE	0.0121176621921081	0.36603022822924	4787	761	0.0465036672949563	8368750
